AirportId,AirportName,LatD,LatM,LatS,LongD,LongM,LongS
M18,"HOPE MUNI",33,43,11.9321,-093,39,32.0534
1AR7,"WADLEY RGNL MEDICAL CENTER AT HOPE",33,38,54.4200,-093,35,06.1400
6M2,"HORSESHOE BEND",36,13,16.9300,-091,45,19.7400
11AR,"CHI ST. VINCENT HOSPITAL HOT SPRINGS",34,28,07.8600,-093,03,56.7600
0AR6,"AMI NATIONAL PARK MEDICAL CENTER",34,29,10.1200,-093,02,11.6700
77AR,"BENOIT AIRFIELD",34,35,51.0000,-092,56,13.0000
HOT,"MEMORIAL FIELD",34,28,40.9000,-093,05,46.4000
78AR,"TUCKER FIELD",34,56,15.3410,-090,28,15.3650
H34,"HUNTSVILLE MUNI",36,04,41.0000,-093,45,18.1000
79AR,"PERRYS",34,51,10.3210,-092,02,53.5180
LRF,"LITTLE ROCK AFB",34,55,03.0436,-092,08,42.0037
22AR,"WILLOW CREEK WOMEN'S HOSPITAL",36,08,06.0000,-094,11,07.0000
JBR,"JONESBORO MUNI",35,49,54.2000,-090,38,47.1000
AR60,"NEA BAPTIST HOSPITAL",35,48,27.3600,-090,39,59.2800
0AR5,"RGNL MEDICAL CENTER",35,50,09.4000,-090,42,06.2300
23AR,"CLASSIC AIRSTRIP",35,49,33.2000,-090,32,49.9000
05AR,"OZARK SKIES AIRPARK",36,00,02.2800,-093,34,12.9000
3M0,"GASTONS",36,20,56.6000,-092,33,20.9000
M32,"LAKE VILLAGE MUNI",33,20,47.5000,-091,18,56.0000
AR61,"CHICOT MEMORIAL HOSPITAL",33,18,19.2000,-091,17,21.0000
68AR,"LUGINBUEL FARM",35,56,02.7400,-094,24,57.3300
LIT,"BILL AND HILLARY CLINTON NATIONAL/ADAMS FIELD",34,43,46.0000,-092,13,29.2000
AR29,"UAMS BRAVO PAD",34,45,01.6100,-092,20,26.4700
5AR5,"MED FLIGHT",34,44,51.3310,-092,22,00.5520
AR45,"ST VINCENT INFIRMARY",34,45,02.3310,-092,20,26.5480
5AR6,"SOUTHWEST HOSPITAL",34,39,25.7500,-092,24,15.6200
6AR3,"UAMS ALPHA PAD",34,44,56.4700,-092,19,12.4800
6AR7,"ARKANSAS HEART HOSPITAL",34,44,22.2900,-092,23,33.8600
3AR6,"CRYSTAL RIDGE",34,43,39.2800,-092,31,00.6200
AR62,"ARKANSAS CHILDREN'S HOSPITAL",34,44,33.6000,-092,17,37.5000
56AR,"LITTLE ROCK POLICE DEPT.",34,38,27.1800,-092,18,15.6600
1AR9,"COUNTRY AIR ESTATES",34,48,50.0000,-092,00,00.0000
2AR0,"BULLY HENRY",34,52,05.2200,-091,58,27.3100
39AR,"BRYAN FIELD",34,54,41.7500,-091,50,13.5000
AR91,"CIRCLE S FARMS",36,13,33.2720,-094,01,55.7200
3AR7,"TAYLOR FIELD",36,17,16.0000,-094,11,12.0000
24AR,"GRIFFIN AG",34,11,53.0000,-090,57,10.0000
AGO,"MAGNOLIA MUNI",33,13,38.9000,-093,13,01.2000
09AR,"MAGNOLIA RGNL MEDICAL CENTER",33,16,26.2000,-093,14,23.1500
M78,"MALVERN MUNI",34,19,59.9370,-092,45,41.3980
03AR,"HSCMH",34,21,28.8000,-092,47,09.8300
MXA,"MANILA MUNI",35,53,40.0000,-090,09,16.5000
3AR0,"FROST FLYING INC",34,49,20.2000,-090,50,49.0000
6M7,"MARIANNA/LEE COUNTY-STEVE EDWARDS FIELD",34,46,57.9000,-090,48,35.9000
6M8,"MARKED TREE MUNI",35,31,59.1250,-090,24,00.3200
34AR,"WOODBRIDGE FIELD",35,34,52.0000,-090,23,07.0000
4A5,"SEARCY COUNTY",35,53,55.3000,-092,39,22.8000
12AR,"GIBBONS",34,30,55.6000,-090,58,25.4000
AR34,"PINE VILLAGE",34,58,55.3150,-092,26,42.5650
AR46,"PENROSE",35,11,21.3190,-091,02,54.4340
7M0,"MC CRORY/MORTON",35,13,42.3000,-091,05,35.4000
7M1,"MC GEHEE MUNI",33,37,12.7960,-091,21,53.4260
AR63,"MC GEHEE DESHA COUNTY HOSPITAL",33,37,04.7900,-091,23,34.9300
42A,"MELBOURNE MUNI - JOHN E MILLER FIELD",36,04,15.5000,-091,49,48.5000
47AR,"MABRY FIELD",36,02,37.0000,-091,56,38.0000
MEZ,"MENA INTERMOUNTAIN MUNI",34,32,43.4000,-094,12,09.5000
2AR6,"GLENN WINCHESTER",33,52,54.3180,-093,55,42.4750
LLQ,"MONTICELLO MUNI/ELLIS FIELD",33,38,18.8000,-091,45,03.6000
AR85,"DREW MEMORIAL HOSPITAL",33,36,37.7800,-091,49,03.7300
BDQ,"MORRILTON MUNI",35,08,10.3030,-092,42,48.5900
AR43,"BRICKEY PVT",35,06,00.3070,-092,47,00.5980
AR65,"ST ANTHONY'S MEDICAL CENTER",35,10,02.4500,-092,43,19.8500
07AR,"MORRILTON",35,11,40.2990,-092,48,00.5980
MPJ,"PETIT JEAN PARK",35,08,19.8000,-092,54,33.1000
BPK,"BAXTER COUNTY",36,22,08.1910,-092,28,13.9010
5AR9,"BAXTER COUNTY RGNL HOSPITAL",36,20,30.2300,-092,23,56.0700
42AR,"BAXTER COUNTY SHERIFFS",36,20,03.2000,-092,23,10.4000
76AR,"JOHNSON FIELD",36,20,58.8000,-092,27,02.0000
7M2,"MOUNTAIN VIEW WILCOX MEMORIAL FIELD",35,51,52.1290,-092,05,25.2190
2AR3,"STONE COUNTY MEDICAL CENTER",35,51,22.2660,-092,04,58.5440
7M3,"BEARCE",34,31,44.6920,-093,31,45.9270
02AR,"MOUNT MORIAH FIELD",34,07,01.0000,-093,41,47.4000
AR66,"PIKE COUNTY HOSPITAL",34,04,16.3900,-093,41,11.3800
0AR8,"HOWARD MEMORIAL HOSPITAL",33,56,55.8300,-093,52,48.8100
M77,"HOWARD COUNTY",33,59,49.9000,-093,50,17.1000
19AR,"NAYLOR FIELD",35,09,14.3000,-092,13,14.7000
M19,"NEWPORT MUNI",35,38,15.8000,-091,10,35.0000
AR92,"UNITY HEALTH HARRIS MEDICAL CENTER",35,36,35.2300,-091,15,52.0300
43AR,"HAIGWOOD LANDING STRIP",35,36,41.0000,-091,14,29.0000
ORK,"NORTH LITTLE ROCK MUNI",34,49,59.3000,-092,15,14.9000
AR55,"R V STEWART FIELD",34,44,23.3280,-092,05,24.5180
8AR1,"TOTTY FIELD",36,29,22.0000,-092,38,32.0000
AR67,"SMC RGNL MEDICAL CENTER",35,42,01.2800,-089,58,32.3160
7M4,"OSCEOLA MUNI",35,41,28.1000,-090,00,36.4000
7M5,"OZARK-FRANKLIN COUNTY",35,30,38.5050,-093,50,21.5070
51AR,"BYRD'S BACKCOUNTRY AIRSTRIP",35,40,38.8000,-093,43,56.2600
AR17,"BURNS AERODROME",34,59,00.3340,-090,54,54.4180
PGR,"KIRK FIELD",36,03,49.7000,-090,30,33.1000
3AR9,"HOG AIR AVIATION INC",36,03,18.7700,-090,22,00.6600
AR95,"ARKANSAS METHODIST HOSPITAL",36,03,03.2480,-090,29,53.3830
7M6,"PARIS MUNI",35,17,56.8150,-093,40,53.8095
7M7,"PIGGOTT MUNI",36,22,41.5400,-090,09,58.4700
AR73,"PIGGOTT COMMUNITY HOSPITAL",36,23,23.0000,-090,12,13.6000
PBF,"GRIDER FIELD",34,10,28.2470,-091,56,08.1752
13AR,"JRMC",34,11,14.0400,-092,01,00.5500
M70,"POCAHONTAS MUNI",36,14,43.8000,-090,57,18.8000
AR53,"FIVE RIVERS MEDICAL CENTER",36,17,21.3000,-090,59,46.7500
AR93,"ARK-MO",36,29,08.2120,-090,16,49.3680
4F7,"KIZER FIELD",33,48,14.0000,-093,21,43.8000
2AR7,"HEAD AIRFIELD",33,50,56.8000,-093,28,44.9000
7M8,"RECTOR",36,15,00.2270,-090,19,10.3640
ROG,"ROGERS EXECUTIVE - CARTER FIELD",36,22,20.7000,-094,06,25.1000
AR36,"MEDI-PORT",36,19,58.6800,-094,07,55.3000
AR11,"OZARK AERODROME",36,17,20.0000,-094,05,25.0000
53AR,"MERCY HOSPITAL NORTHWEST ARKANSAS",36,18,30.4104,-094,11,03.2113
AR12,"MC DONALD'S STRIP",35,19,14.0000,-092,01,07.3800
RUE,"RUSSELLVILLE RGNL",35,15,32.9280,-093,05,35.7580
4AR0,"ST MARY'S RGNL MEDICAL CENTER",35,17,02.9100,-093,09,00.3000
2AR2,"DAVIDSON FIELD",36,00,54.6600,-091,47,47.8200
7M9,"SALEM",36,21,21.2690,-091,49,51.4370
AR68,"FULTON COUNTY HOSPITAL",36,22,57.9100,-091,48,39.6100
SRC,"SEARCY MUNI",35,12,38.1950,-091,44,15.1420
29AR,"WHITE COUNTY MEDICAL CENTER",35,15,08.9700,-091,41,50.5500
AR78,"UNITY HEALTH WHITE COUNTY MEDICAL CENTER",35,14,00.4300,-091,43,47.0500
AR33,"HONEY HILL",35,14,00.3060,-091,47,14.5000
26AR,"FLY "N" K",35,12,55.8000,-091,48,28.2000
7AR4,"BROWN'S",35,17,32.0000,-091,53,24.0000
35AR,"SWEET SPRINGS AIRPORT",35,18,42.5000,-091,52,32.2900
9M8,"SHERIDAN MUNI",34,19,39.1000,-092,21,04.8000
AR22,"TOMMY'S FLYING SERVICE INC",34,22,53.3460,-091,57,30.4990
99A,"SMITH'S INTL",34,24,22.4000,-091,57,31.5000
SLG,"SMITH FIELD",36,11,30.7000,-094,29,24.0000
AR69,"SILOAM SPRINGS MEMORIAL HOSPITAL",36,11,21.7600,-094,30,24.3200
38AR,"WILLIAMS FIELD",36,07,07.7800,-094,28,05.5700
ASG,"SPRINGDALE MUNI",36,10,35.0000,-094,07,09.3000
0AR0,"SMH",36,10,53.2790,-094,08,13.7310
14AR,"ACH SPRINGDALE HELIPORT",36,09,42.7998,-094,11,20.7531
16AR,"HEIFER CREEK RANCH",35,18,04.0000,-092,34,24.0000
55M,"STAR CITY MUNI",33,55,35.1000,-091,51,40.0000
4F8,"WILSON",33,26,35.5000,-093,03,15.5000
32AR,"STUTTGART MEMORIAL HOSPITAL",34,31,04.0000,-091,33,35.0000
SGT,"STUTTGART MUNI CARL HUMPHREY FIELD",34,35,58.1227,-091,34,30.0010
TXK,"TEXARKANA RGNL-WEBB FIELD",33,27,13.4000,-093,59,27.7000
AR44,"FLYING W",33,30,45.4450,-094,00,48.6780
AR37,"ST MICHAEL HOSPITAL",33,25,38.3500,-094,02,32.3800
5AR1,"TILLAR",33,42,45.3860,-091,27,40.4400
AR79,"FLYING G RANCH",33,41,35.3890,-091,22,46.4290
5AR2,"TURRELL FLYING SERVICE",35,22,30.0000,-090,12,23.0000
AR87,"CRAWFORD MEMORIAL HOSPITAL",35,26,04.6700,-094,20,23.8000
44AR,"AIR EVAC LIFETEAM 30",35,05,00.3000,-092,12,01.1600
M27,"WALDRON MUNI",34,52,33.6000,-094,06,32.0000
ARG,"WALNUT RIDGE RGNL",36,07,28.8000,-090,55,30.4000
AR20,"LAWRENCE MEMORIAL",36,04,27.8700,-090,58,02.5100
3M9,"WARREN MUNI",33,33,37.5960,-092,05,07.3990
AR70,"BRADLEY COUNTY MEDICAL CENTER",33,36,39.1600,-092,03,36.2400
0AR7,"YANCOPIN",33,57,00.3750,-091,10,52.4110
8M2,"SALLY WOFFORD",35,35,24.9800,-090,54,49.2200
5AR7,"KELLER AIRFIELD",35,41,12.0000,-090,47,37.0000
AR27,"LOLLARS CREEK FARM",35,56,20.2820,-093,50,44.7000
AWM,"WEST MEMPHIS MUNI",35,08,06.2000,-090,14,04.0000
10AR,"HICKORY RIDGE",34,15,46.3000,-092,07,17.8000
05XS,"JOHNSON MEMORIAL",33,04,42.6000,-091,33,42.6000
9AR4,"TANGO 7",34,31,23.1300,-092,10,03.5600
AR74,"CROSS RIDGE COMMUNITY HOSPITAL",35,13,12.3190,-090,47,11.4070
M65,"WYNNE MUNI",35,13,53.7660,-090,45,41.5840
3AR1,"PINE MOUNTAIN",36,24,38.0000,-092,39,48.0000
FAQ,"FITIUTA",14,12,56.7927,-169,25,26.0607
Z08,"OFU",14,11,03.6620,-169,40,12.0850
PPG,"PAGO PAGO INTL",14,19,53.9760,-170,42,41.4110
HI36,"TAU",14,13,45.0000,-169,30,40.0000
26AZ,"FLYING DARE'S RANCH",34,00,43.0990,-113,12,10.6940
27AZ,"EAGLE ROOST AIRPARK",33,55,09.6600,-113,10,04.1400
28AZ,"SAMPLEY'S",33,55,22.1060,-113,10,52.6920
P01,"ERIC MARCUS MUNI",32,27,10.4000,-112,51,41.1000
E51,"BAGDAD",34,35,34.4200,-113,10,19.0150
31AZ,"BENSON",31,57,49.3000,-110,15,35.2610
E95,"BENSON MUNI",31,59,58.0000,-110,21,28.7000
P04,"BISBEE MUNI",31,21,50.3650,-109,52,59.2630
6AZ6,"COPPER QUEEN HOSPITAL",31,25,03.6800,-109,52,56.8800
AZ68,"BLACK CANYON CITY MEDICAL CENTER",34,03,49.4900,-112,08,44.9200
62AZ,"JALAPENO RANCH",33,51,36.2100,-113,55,47.3200
10AZ,"FARM AG",33,22,00.1500,-112,37,07.6010
BXK,"BUCKEYE MUNI",33,25,13.5000,-112,41,10.2510
22AZ,"WESTERN ARIZONA RGNL MEDICAL CENTER",35,06,40.8900,-114,33,15.4500
IFP,"LAUGHLIN/BULLHEAD INTL",35,09,16.6000,-114,33,33.6000
A20,"SUN VALLEY",35,00,20.3000,-114,33,54.1000
1AZ8,"WILLOW SPRINGS RANCH",35,17,44.9880,-114,22,22.8560
A09,"EAGLE AIRPARK",34,53,17.4000,-114,36,59.9000
19AZ,"MONTEZUMA",34,36,18.0850,-111,51,54.5460
01AZ,"YAT",34,36,29.0000,-111,51,53.0000
33AZ,"YOLO RANCH",34,47,55.0680,-112,58,12.6740
AZ91,"THE BOULDERS",33,48,10.1410,-111,55,06.5290
18AZ,"SKY RANCH AT CAREFREE",33,49,05.1410,-111,53,52.5270
AZ52,"HORSESHOE DAM",33,58,55.1390,-111,42,59.5190
AZ51,"BARTLETT DAM",33,49,07.1500,-111,37,57.4980
CGZ,"CASA GRANDE MUNI",32,57,17.6000,-111,46,00.6000
P19,"STELLAR AIRPARK",33,17,55.9545,-111,54,55.5725
AZ87,"JEPPESEN RANCH",33,13,39.1840,-111,51,12.4980
AZ76,"CHANDLER RGNL MEDICAL CENTER",33,17,53.2300,-111,52,24.6900
CHD,"CHANDLER MUNI",33,16,08.8000,-111,48,40.0000
E91,"CHINLE MUNI",36,06,33.5000,-109,34,31.7000
59AZ,"ROBIN",34,44,40.0820,-112,26,42.6080
AZ46,"H&H RANCH AIRSTRIP",34,45,59.0800,-112,32,56.6190
Z95,"CIBECUE",34,00,12.0000,-110,26,39.0000
CFT,"GREENLEE COUNTY",32,57,25.3391,-109,12,40.1843
Z66,"DOUBLE CIRCLE RANCH",33,20,25.9700,-109,29,40.0750
AZC,"COLORADO CITY MUNI",36,57,35.8000,-113,00,50.0000
35AZ,"CONTINENTAL",31,50,37.3040,-110,58,36.3240
P08,"COOLIDGE MUNI",32,56,09.6840,-111,25,35.3041
37AZ,"SARITA",32,56,08.2240,-111,29,04.4400
P52,"COTTONWOOD",34,43,48.2000,-112,02,06.5000
AZ22,"MARCUS J LAWRENCE MEDICAL CENTER",34,44,13.1500,-112,01,46.6700
AZ86,"A C GOODWIN MEMORIAL FIELD",34,41,06.7000,-112,17,24.9000
AZ00,"MORTON FIELD ULTRALIGHT",32,48,21.0000,-113,30,25.0000
DGL,"DOUGLAS MUNI",31,20,33.3700,-109,30,23.2360
AZ17,"CIRCLE H RANCH",31,30,08.0000,-109,23,28.0000
P03,"COCHISE COLLEGE",31,22,16.7300,-109,41,23.8300
DUG,"BISBEE DOUGLAS INTL",31,28,08.2000,-109,36,13.5000
EE0,"ELOY FARMS AIRSTRIP",32,41,22.2100,-111,32,57.5500
E60,"ELOY MUNI",32,48,24.1985,-111,35,11.8546
AZ04,"SAWTOOTH ARPT",32,39,39.0500,-111,40,53.5100
FLG,"FLAGSTAFF PULLIAM",35,08,25.1000,-111,40,09.3000
AZ23,"FLAGSTAFF MALL",35,13,25.0410,-111,34,59.5770
3AZ0,"FLAGSTAFF MEDICAL CENTER EAST NO 2",35,12,29.8800,-111,38,35.2100
FHU,"SIERRA VISTA MUNI-LIBBY AAF",31,35,18.5000,-110,20,39.8000
5AZ9,"REGENERATION",33,01,58.0000,-109,59,15.0000
E63,"GILA BEND MUNI",32,57,36.6100,-112,40,25.0950
AZ05,"LAKESIDE AIRPARK",33,06,45.0000,-112,39,42.0000
GAX,"WILLIAMS AUXILIARY AIRFIELD 6",32,53,06.9000,-112,48,58.7000
GXF,"GILA BEND AF AUX",32,53,16.2500,-112,43,10.5950
3AZ1,"PIXLEY-RICHARDS GILBERT",33,22,20.1710,-111,50,11.5020
17AZ,"GILBERT EMERGENCY HOSPITAL",33,18,50.8100,-111,41,14.5700
06AZ,"MERCY GILBERT MEDICAL CENTER",33,17,16.7700,-111,45,07.6300
AZ79,"AIRSCREW PERFORMANCE FLIGHTPARK",33,31,48.1480,-112,12,59.5530
GEU,"GLENDALE MUNI",33,31,36.9000,-112,17,42.5000
77AZ,"BANNER THUNDERBIRD MEDICAL CENTER",33,36,30.0000,-112,10,46.5500
LUF,"LUKE AFB",33,32,05.8810,-112,22,59.5185
P13,"SAN CARLOS APACHE",33,21,11.3000,-110,40,02.5000
AZ56,"MORMON FLAT DAM",33,33,12.1670,-111,26,41.4760
AZ55,"HORSE MESA NR 1",33,34,57.1700,-111,21,26.4670
AZ53,"HORSE MESA DAM NR 2",33,35,26.1710,-111,20,39.4640
AZ54,"STEWART MOUNTAIN DAM",33,33,08.1630,-111,32,56.4830
76AZ,"WEST VALLEY MEDICAL CENTER",33,27,39.7700,-112,21,09.9400
GYR,"PHOENIX GOODYEAR",33,25,23.8000,-112,22,31.3000
GCN,"GRAND CANYON NATIONAL PARK",35,57,08.5000,-112,08,49.1000
40G,"VALLE",35,39,02.3250,-112,08,52.9950
14AZ,"RUBY STAR AIRPARK",31,54,33.2000,-111,07,15.5000
AZ69,"GREEN VALLEY HOSPITAL HELISTOP",31,48,26.0000,-111,00,34.0000
68AZ,"MUSIC MOUNTAIN AIR RANCH",35,28,30.4400,-113,46,09.0900
6AZ2,"WISKY RANCH/CHEVLON",34,37,00.5000,-110,37,40.6600
03AZ,"THOMPSON INTL AVIATION",31,26,00.3570,-110,05,02.2770
P14,"HOLBROOK MUNI",34,56,26.6000,-110,08,18.6000
11AZ,"WHETSTONE",31,41,01.3270,-110,17,24.2790
AZ21,"FOUR PILLARS",31,44,45.0000,-110,14,52.0000
0V7,"KAYENTA",36,42,59.2000,-110,13,42.4000
38AZ,"PEABODY BEDARD FIELD",36,28,18.2480,-110,25,04.4475
E67,"KEARNY",33,02,49.9000,-110,54,32.6000
IGM,"KINGMAN",35,15,34.1000,-113,56,17.0000
73AZ,"DUNTON RANCH",35,12,07.0000,-113,21,39.0000
AZ97,"X BAR 1 RANCH (LOWER)",35,20,53.9850,-113,41,19.7890
4AZ6,"PARSONS FIELD",34,59,53.0300,-113,27,41.7500
AZ45,"CHINA PEAK OBSERVATORY",32,43,45.2450,-110,17,47.3110
AN01,"AV RANCH",32,49,00.0000,-110,19,00.0000
9AZ2,"SAGEBRUSH TRAILS ESTATES",34,34,58.0000,-114,01,40.0000
HII,"LAKE HAVASU CITY",34,34,16.0000,-114,21,29.8000
AZ80,"HAVASU SAMARITAN RGNL HOSPITAL",34,28,52.0430,-114,20,20.8370
71AZ,"SPAWR",34,30,36.0000,-114,20,39.0000
AZ90,"HANGAR HACIENDAS",33,21,12.1630,-112,07,38.5370
AZ60,"COYNER AIRSTRIP",33,30,18.1430,-112,28,24.5880
02AZ,"SILVERBELL ARMY HELIPORT",32,31,18.0000,-111,20,13.0000
4AZ8,"THE ULTRALIGHT STRIP",32,17,41.0000,-111,20,40.0000
MZJ,"PINAL AIRPARK",32,30,35.4000,-111,19,31.2000
AZ03,"CLIFF DWELLERS",36,44,03.9510,-111,45,09.5900
L41,"MARBLE CANYON",36,48,38.9000,-111,38,40.0000
AZ78,"MOOSE CREEK",33,00,40.0000,-112,16,54.0000
AZ13,"SCHU RANCH",33,01,01.1720,-112,16,52.5360
AZ31,"SERENE FIELD",32,59,48.1740,-112,16,20.5340
40AZ,"BOULAIS RANCH",33,04,44.1780,-112,07,44.5200
2AN2,"AK-CHIN",33,01,38.0000,-112,05,07.0000
41AZ,"FARMS",32,59,10.1850,-112,01,32.5060
2AZ4,"MILLAR",33,03,13.1780,-112,08,44.5220
E68,"ESTRELLA SAILPORT",33,05,07.1760,-112,09,39.5260
AZ43,"HIDDEN VALLEY",33,03,15.0000,-112,10,25.0000
2AZ9,"TRIBAL AIR",31,36,08.3440,-109,39,05.2500
L25,"PEARCE FERRY",36,05,35.6000,-114,02,48.2000
FFZ,"FALCON FLD",33,27,39.0000,-111,43,42.0000
66AZ,"BANNER DESERT MEDICAL CENTER",33,23,22.2900,-111,52,33.0800
63AZ,"AT&T - APACHE JUNCTION",33,29,39.1640,-111,38,28.4930
AZ10,"JSJ",33,26,50.1630,-111,50,47.5070
AZ81,"BOEING",33,28,38.0000,-111,43,55.0000
AZ92,"BANNER BAYWOOD MEDICAL CENTER",33,24,40.0200,-111,41,13.2700
AZ39,"TURF",33,27,47.6650,-111,43,43.4990
08AZ,"MESA POLICE",33,25,02.8000,-111,50,12.0000
69AZ,"MARICOPA COUNTY SHERIFF'S OFFICE",33,22,54.0000,-111,49,38.0000
0AZ4,"FLYING BUCKET RANCH",32,58,56.1730,-112,17,13.5340
5AZ6,"MOTOWN",32,55,30.0000,-112,15,34.0000
1AZ0,"MOBILE",33,06,43.0000,-112,16,09.0000
45AZ,"WILLOW VALLEY",34,54,47.9000,-114,34,48.2800
0AZ5,"CASTLE WELL",33,51,57.1170,-112,36,12.1260
12AZ,"RANTA STRIP",33,51,14.1160,-112,39,11.6290
AZ32,"ROESNER RANCH",33,50,51.1180,-112,35,16.6230
AZ28,"THUNDER RIDGE AIRPARK",33,49,17.4100,-112,34,23.2200
OLS,"NOGALES INTL",31,25,03.8000,-110,50,52.4000
2AZ6,"HORIZON",32,24,37.2650,-110,56,31.3570
AZ82,"MOGOLLON AIRPARK",34,23,50.1370,-110,31,47.4450
44AZ,"SANDHILL RANCH",36,55,54.9480,-111,58,10.6370
PGA,"PAGE MUNI",36,55,33.9000,-111,26,54.1000
29AZ,"PALOMA RANCH",32,54,20.1720,-112,54,00.6100
AZ26,"EVELYN FIELD",31,22,09.0000,-110,07,30.0000
P20,"AVI SUQUILLA",34,08,59.4000,-114,16,04.2000
AZ47,"LAPAZ RGNL HOSPITAL",34,08,13.3300,-114,17,05.7200
AZ57,"PILOTS REST",34,55,51.0000,-112,30,45.0000
AZ09,"BIG CHINO AIRSTRIP",35,01,40.2393,-112,40,28.0480
PAN,"PAYSON",34,15,24.6110,-111,20,21.3210
1G4,"GRAND CANYON WEST",35,59,10.0000,-113,49,00.9000
AZ12,"183 MILE",36,06,29.9380,-113,12,47.7480
L37,"GRAND CANYON CAVERNS",35,31,38.0450,-113,14,51.0100
3AZ5,"HUALAPAI",35,34,19.9720,-113,17,32.7480
AZ36,"GRAND CANYON WEST-1",36,01,33.9540,-113,49,40.8220
AZ35,"GRAND CANYON WEST-2",36,02,52.9530,-113,51,29.8280
6AZ5,"ASH CREEK",31,51,26.9400,-109,32,32.3400
7AZ4,"RANCHO RELAXO",31,56,19.0000,-109,35,18.0000
P48,"PLEASANT VALLEY",33,48,02.1280,-112,15,02.5750
4AZ5,"NEW WADDELL DAM",33,50,42.1200,-112,16,11.5800
AZ07,"PHOENIX AREA",33,26,34.1560,-112,08,55.5440
AZ20,"WESTCOR HOME OFFICE",33,35,33.1500,-111,58,42.5290
AZ42,"ASI",33,26,51.1590,-111,59,30.5240
64AZ,"KTSP",33,26,55.1570,-112,04,51.5360
AZ24,"PHOENIX BAPTIST HOSPITAL",33,31,30.2800,-112,06,06.1700
AZ72,"POLICE & PUBLIC SAFETY BUILDING",33,26,55.1570,-112,04,55.5350
67AZ,"GOOD SAMARITAN HOSPITAL",33,27,54.1560,-112,03,36.5320
5AZ2,"SOUTHERN COMMAND POLICE STATION",33,24,25.0000,-112,04,20.0000
AZ30,"UNITED BANK PLAZA",33,29,07.1540,-112,04,28.5360
AZ29,"WESTRIDGE MALL",33,28,32.1520,-112,13,25.5540
AZ33,"KNOELL-MAIN OFFICE",33,25,33.1600,-112,01,47.5290
20E,"MARICOPA MEDICAL CENTER",33,27,24.7400,-112,01,36.0600
AZ48,"BANNER UNIV MED CENTER HELIPORT",33,27,54.1560,-112,03,28.5320
AZ62,"INN PLACE HOTEL",33,34,40.1470,-112,07,16.5470
DVT,"PHOENIX DEER VALLEY",33,41,17.9000,-112,04,57.2000
AZ95,"ABRAZO SCOTTSDALE HOSP EMERG DEPT",33,38,21.3900,-111,59,47.5100
AZ94,"BILTMORE GOLF COURSE",33,31,17.1530,-112,01,10.5310
AZ98,"JOHN C LINCOLN HELISTOP",33,34,07.1480,-112,04,15.5390
0AZ7,"SUNSTATE",33,26,37.1600,-111,57,48.5220
0AZ6,"ST JOSEPH'S HOSPITAL",33,28,57.6200,-112,04,46.2100
3AZ4,"JOHN C LINCOLN DEER VALLEY HOSPITAL",33,39,57.2700,-112,06,55.1400
2AZ0,"HELICOPTER TRANSPORT INC/OFFICE",33,27,00.1590,-111,58,48.5220
AZ41,"ABACUS TOWER",33,29,00.1540,-112,04,12.5340
AZ02,"GATEWAY EAST KNXV TV",33,27,17.0000,-111,59,02.0000
0AZ0,"ARIZONA HEART HOSPITAL",33,28,52.5000,-112,02,24.5000
A39,"AK-CHIN RGNL",32,59,25.9750,-111,55,08.0450
AZ99,"PHOENIX CHILDREN'S HOSPITAL",33,28,44.6800,-112,02,32.2500
BE1,"BANNER ESTRELLA MEDICA CENTER",33,28,44.5000,-112,15,24.4000
P18,"PAPAGO AHP",33,28,19.1580,-111,57,49.5240
IWA,"PHOENIX-MESA GATEWAY",33,18,28.2000,-111,39,19.7000
PHX,"PHOENIX SKY HARBOR INTL",33,26,03.4000,-112,00,41.7000
PCA,"PICACHO ARNG",32,39,30.0000,-111,28,30.0000
E37,"FLYING J RANCH",32,50,52.2360,-109,52,54.2930
P10,"POLACCA",35,47,29.8000,-110,25,24.2000
25AZ,"MYSTERY WELL RANCH",31,48,57.4100,-109,03,26.2100
8AZ5,"LIZZY LIZARD",31,53,52.6000,-109,03,24.9000
PRC,"ERNEST A LOVE FIELD",34,39,17.4000,-112,25,09.2000
AZ27,"BIG SPRINGS RANCH",34,54,36.0690,-112,32,02.6230
AZ70,"VERSATILE",34,37,38.0870,-112,18,32.5950
72AZ,"ADAMS PLACE",34,42,29.5200,-112,20,01.0800
51AZ,"YAVAPAI RGNL MEDICAL CENTER EAST",34,35,30.6700,-112,19,50.6000
15AZ,"QUAIL MESA RANCH",33,45,41.0000,-114,27,34.0000
5AZ3,"PEGASUS AIRPARK",33,12,45.0000,-111,37,02.0000
AZ38,"RITTENHOUSE ARMY HELIPORT",33,15,05.0000,-111,31,05.0000
AZ63,"TWIN HAWKS AIRPARK",32,31,40.0000,-111,11,45.0000
48AZ,"RIMROCK",34,39,03.0800,-111,47,17.5430
50AZ,"ROCKY RIDGE",36,03,35.0000,-110,35,17.4950
AZ58,"ROOSEVELT DAM",33,40,15.1730,-111,09,43.4460
88AZ,"GRAPEVINE AIRSTRIP",33,38,27.2700,-111,03,24.9000
SAD,"SAFFORD RGNL",32,51,12.0000,-109,38,06.3000
1AZ3,"ARIZONA STATE PRISON - SAFFORD",32,49,44.0000,-109,33,54.0000
AZ44,"MOUNT GRAHAM RGNL MEDICAL CENTER",32,49,17.8300,-109,44,09.9500
